Classe,Relacao,Classe,Identificador
table,on top of,tile,4150090398
table,beneath,ashtray,4150090398
table,beneath,laptop,4150090398
table,in front of,sky,4150090398
ashtray,on,table,4150090398
ashtray,left of,laptop,4150090398
ashtray,below,sky,4150090398
ashtray,below,clouds,4150090398
ashtray,to the left of,laptop,4150090398
railing,behind,table,4150090398
railing,behind,laptop,4150090398
railing,in front of,sky,4150090398
tile,under,table,4150090398
tile,beneath,laptop,4150090398
tile,beneath,ashtray,4150090398
sky,has,clouds,4150090398
sky,above,laptop,4150090398
sky,above,ashtray,4150090398
sky,above,railing,4150090398
clouds,above,ashtray,4150090398
man,wearing,jacket,3825256896
man,has,hair,3825256896
man,wearing,pants,3825256896
man,wearing,back pack,3825256896
man,has,eyes,3825256896
man,has,mouth,3825256896
woman,with,hair,3825256896
woman,wearing,leggings,3825256896
woman,wearing,shoes,3825256896
woman,in front of,conveyor,3825256896
sign,on,cart,3825256896
logo,on,sign,3825256896
letters,on,sign,3825256896
tag,on,bag,3825256896
duffel,in front of,man,3825256896
lady,beside,bilboard,3825256896
boy,behind,luggage,3825256896
ceiling,above,conveyor,3825256896
lights,on,ceiling,3825256896
girl,behind,luggage,3825256896
cat,has,stripes,174196276
cat,on,luggage,174196276
cat,on,purse,174196276
cat,above,bed,174196276
cat,on top of,clothes,174196276
luggage,has,clothes,174196276
luggage,on,bed,174196276
luggage,has,strap,174196276
luggage,below,painting,174196276
luggage,next to,bag,174196276
painting,on,wall,174196276
painting,above,luggage,174196276
painting,above,bed,174196276
painting,above,cat,174196276
clothes,under,cat,174196276
clothes,below,purse,174196276
purse,on,clothes,174196276
purse,in,luggage,174196276
purse,on top of,clothes,174196276
sheet,on,bed,174196276
sheet,below,luggage,174196276
pillows,next to,luggage,174196276
pillows,under,painting,174196276
pillows,next to,cat,174196276
pillows,on,bed,174196276
bag,next to,luggage,174196276
bag,next to,pillows,174196276
strap,on,luggage,174196276
woman,next to,man,9488063880
woman,sitting at,table,9488063880
woman,wearing,jacket,9488063880
woman,sitting next to,man,9488063880
woman,wearing,glasses,9488063880
woman,next to,table,9488063880
woman,behind,table,9488063880
man,next to,woman,9488063880
man,sitting next to,woman,9488063880
man,wearing,tie,9488063880
table,in front of,woman,9488063880
book,on,table,9488063880
man,sitting at,table,9488063880
man,wearing,bowtie,9488063880
bottle,on,table,9488063880
bread,on,board,9488063880
board,on,table,9488063880
carafe,on,table,9488063880
glass,on,table,9488063880
jacket,over,blouse,9488063880
glasses,below,hair,9488063880
glasses,on,face,9488063880
blouse,under,jacket,9488063880
girl,holding,umbrella,9263069366
girl,holding,purse,9263069366
girl,wearing,skirt,9263069366
girl,under,umbrella,9263069366
girl,has,heel,9263069366
girl,beside,girl,9263069366
girl,holding,umbrella,9263069366
girl,holding,purse,9263069366
girl,wearing,skirt,9263069366
girl,has,heel,9263069366
flowers,on,balcony,9263069366
balcony,has,railing,9263069366
balcony,above,girl,9263069366
balcony,above,girl,9263069366
railing,above,girl,9263069366
railing,above,girl,9263069366
sign,on,balcony,9263069366
sign,under,flowers,9263069366
camera,next to,sign,9263069366
camera,on,balcony,9263069366
camera,above,girls,9263069366
heel,beside,grate,9263069366
camera,beside,window,9263069366
plant,beside,window,9263069366
truck,towing,bus,5064573447
truck,near,car,5064573447
truck,on,road,5064573447
truck,tows,bus,5064573447
bus,behind,truck,5064573447
bus,near,car,5064573447
bus,on,road,5064573447
car,near,bus,5064573447
car,on,road,5064573447
car,beside,truck,5064573447
car,next to,truck,5064573447
van,near,car,5064573447
van,behind,car,5064573447
van,on,truck,5064573447
buildings,by,road,5064573447
people,in,car,5064573447
sign,has,squares,5064573447
letters,on,truck,5064573447
numbers,on,truck,5064573447
sign,on,bus,5064573447
bus,behind,car,5064573447
people,near,car,5064573447
man,in,truck,5064573447
woman,has,glasses,5219053386
woman,is wearing,jeans,5219053386
woman,is wearing,sweater,5219053386
woman,has,towel,5219053386
woman,wearing,shirt,5219053386
woman,holding,towel,5219053386
woman,clutching,towel,5219053386
glasses,have,black frames,5219053386
towel,in front of,shirt,5219053386
towel,next to,sweater,5219053386
towel,above,table,5219053386
towel,under,glasses,5219053386
plate,on,table,5219053386
tongs,on,table,5219053386
glass,on,table,5219053386
shirt,under,sweater,5219053386
shirt,behind,towel,5219053386
ring,on,finger,5219053386
toaster,on,countertop,5219053386
drink,on,countertop,5219053386
bottle,on,countertop,5219053386
bottle,next to,toaster,5219053386
ice,in,glass,5219053386
flower,on,plate,5219053386
flower,next to,bottle,5219053386
cheese,in,hand,5219053386
man,wears,hat,4370372957
man,wears,coveralls,4370372957
man,next to,truck,4370372957
man,wears,shirt,4370372957
man,has,ears,4370372957
man,wearing,overalls,4370372957
man,next to,window,4370372957
man,besidest,truck,4370372957
man,in front of,trafficlight,4370372957
hat,on,head,4370372957
coveralls,have,label,4370372957
label,has,name,4370372957
trafficlight,behind,man,4370372957
truck,has,headlamp,4370372957
truck,has,windshield,4370372957
truck,has,decal,4370372957
truck,next to,man,4370372957
window,on,truck,4370372957
window,below,logo,4370372957
headlights,next to,man,4370372957
logo,besides,line,4370372957
logo,above,man,4370372957
line,besides,logo,4370372957
line,above,man,4370372957
man,on,bicycle,4537473706
man,in,bike lane,4537473706
man,next to,bus,4537473706
man,touching,bus,4537473706
man,has,bag,4537473706
man,leaning on,bus,4537473706
man,stopped next to,bus,4537473706
man,riding on,bicycle,4537473706
man,wearing,helmet,4537473706
bicycle,next to,bus,4537473706
bicycle,carrying,man,4537473706
bike lane,in,street,4537473706
bike lane,next to,bus,4537473706
bus,next to,man,4537473706
bus,next to,bicycle,4537473706
car,acrosss,street,4537473706
handicap sticker,on,bus,4537473706
reflectors,on side of,bus,4537473706
headlight,on front of,bus,4537473706
tire,under,bus,4537473706
door,on,bus,4537473706
window,on,door,4537473706
reflectors,on,bicycle,4537473706
bike,on,bike lane,4537473706
motorcycle,has,seat,8040139417
motorcycle,has,mirror,8040139417
motorcycle,has,helmet,8040139417
motorcycle,has,handle bar,8040139417
motorcycle,has,wheel,8040139417
bike,has,kickstand,8040139417
seat,on,motorcycle,8040139417
mirror,on,motorcycle,8040139417
mirror,on,handle bar,8040139417
wheel,on,motorcycle,8040139417
handle bar,on,bike,8040139417
wheel,on,motorcycle,8040139417
car,has,brakelight,8040139417
car,has,window,8040139417
building,behind,car,8040139417
building,behind,bike,8040139417
motorcycle,has,helmet,8040139417
motorcycle,behind,bike,8040139417
motorcycle,has,bag,8040139417
building,behind,motorcycle,8040139417
pizza,on,table,7417695040
pizza,on,plate,7417695040
table,under,plate,7417695040
table,beneath,plate,7417695040
table,beneath,pizza,7417695040
table,under,pizza,7417695040
table,under,beer,7417695040
table,under,beer,7417695040
table,under,beer,7417695040
table,under,boy,7417695040
plate,on,table,7417695040
toppings,on,pizza,7417695040
toppings,covering,pizza,7417695040
pitcher,on,table,7417695040
beer,in,pitcher,7417695040
beer,right of,beer,7417695040
beer,left of,beer,7417695040
beer,right of,beer,7417695040
beer,left of,beer,7417695040
beer,right of,boy,7417695040
boy,in front of,boy,7417695040
boy,left of,beer,7417695040
boy,at,table,7417695040
boy,behind,boy,7417695040
laptop,on,table,5465443054
laptop,on top of,table,5465443054
table,has,laptop,5465443054
table,next to,chair,5465443054
chair,tucked into,table,5465443054
speakers,next to,laptop,5465443054
speakers,on top of,table,5465443054
fish bowl,on,table,5465443054
fish bowl,has,goldfish,5465443054
fish bowl,has,glass,5465443054
fish bowl,has,top,5465443054
water,in,glass,5465443054
mouse,on,table,5465443054
mouse,on top of,mousepad,5465443054
pillow,on top of,bed,5465443054
desktop,under,table,5465443054
keyboard,in,laptop,5465443054
screen,in,laptop,5465443054
floor,is under,desk,5465443054
volume control,on top of,table,5465443054
cables,in,laptop,5465443054
light,above,street,6378957229
light,to the left of,light,6378957229
light,next to,light,6378957229
light,attached to,pole,6378957229
light,to the right of,light,6378957229
light,next to,light,6378957229
light,next to,light,6378957229
light,over,street,6378957229
light,to the right of,light,6378957229
light,next to,light,6378957229
building,behind,street,6378957229
building,behind,streetlight,6378957229
building,next to,streetlight,6378957229
streetlight,behind,street,6378957229
trees,to the left of,building,6378957229
trees,in front of,light,6378957229
trees,behind,street,6378957229
trees,next to,light,6378957229
trees,next to,building,6378957229
sign,on,pole,6378957229
grass,next to,street,6378957229
light,above,sign,6378957229
bus,next to,signpost,10142659205
numbers,on,bus,10142659205
light,on,bus,10142659205
light,beside,numbers,10142659205
head light,on,bus,10142659205
sign,on,bus,10142659205
windshield,on,bus,10142659205
wipper,on,bus,10142659205
wipper,on,windshield,10142659205
taxi,on,road,10142659205
sign,on,taxi,10142659205
van,behing,taxi,10142659205
van,on,road,10142659205
mirror,on,bus,10142659205
building,behind,taxi,10142659205
lights,on,bus,10142659205
numbers,on,bus,10142659205
lines,on,road,10142659205
windows,in,building,10142659205
label,on,bus,10142659205
bird,standing on,apple,2304707627
bird,standing on,branch,2304707627
bird,on top of,branch,2304707627
bird,idling on,branch,2304707627
bird,standing above,branch,2304707627
bird,standing above,apple,2304707627
bird,above,apple,2304707627
bird,smaller than,apple,2304707627
bird,has,eye,2304707627
bird,has,beak,2304707627
bird,on,branch,2304707627
bird,has,tail feathers,2304707627
bird,has,wings,2304707627
apple,beneath,bird,2304707627
apple,attached to,branch,2304707627
apple,below,bird,2304707627
branch,below,bird,2304707627
branch,next to,bird,2304707627
hole,in,apple,2304707627
blanket,on top of,bed,9757186661
blanket,on,bed,9757186661
bed,has,blanket,9757186661
bed,has,pillows,9757186661
bed,next to,phone,9757186661
bed,next to,desk,9757186661
pillows,on,bed,9757186661
pillows,on top of,sheets,9757186661
lamp,on,wall,9757186661
table,by,bed,9757186661
floor,under,bed,9757186661
floor,under,table,9757186661
floor,under,blanket,9757186661
floor,under,wall,9757186661
phone,on,desk,9757186661
phone,on top of,desk,9757186661
phone,near,bed,9757186661
desk,next to,bed,9757186661
desk,has,phone,9757186661
desk,has,stool,9757186661
desk,below,phone,9757186661
stool,under,desk,9757186661
stool,below,desk,9757186661
cyclists,in,street,9466242472
chain,in front of,street,9466242472
car,crossing,street,9466242472
car,in front of,cyclists,9466242472
buildings,around,street,9466242472
buildings,near,street,9466242472
woman,in,helmet,9466242472
woman,in,jacket,9466242472
woman,in,pants,9466242472
woman,sitting on,seat,9466242472
strap,on,jacket,9466242472
light,on,motorcycle,9466242472
reflector,on,motorcycle,9466242472
van,on,street,9466242472
lamp,next to,street,9466242472
mirror,on,motorcycle,9466242472
car,near,van,9466242472
man,on,bike,9466242472
sign,on,building,9466242472
car,has,stripes,9466242472
person,by,sign,9466242472
tree,near,street,9466242472
hand,holding,glass,2689480291
glass,near,glass,2689480291
face,is behind,glass,2689480291
hair,is on,head,2689480291
glasses,are on,head,2689480291
the bottle,is on,the bar,2689480291
the bottle,is in front of,the man,2689480291
woman,has,sweater,2689480291
woman,wearing,glasses,2689480291
woman,wearing,watch,2689480291
woman,has,hair,2689480291
woman,has,mouth,2689480291
the lights,are on,the ceiling,2689480291
the man,is behind,the bottle,2689480291
menu,is on,the bar,2689480291
the books,are on,the shelf,2689480291
sign,on,wall,2689480291
sign,on,post,2689480291
wine list,on,the bar,2689480291
woman,at,the bar,2689480291
woman,wearing,shirt,2689480291
woman,has,bracelet,2689480291
button,on,shirt,2689480291
light,near,light,2689480291
policeman,wearing,helmet,7441526440
policeman,wearing,pants,7441526440
policeman,wearing,boots,7441526440
policeman,on,motorcycle,7441526440
helmet,on,policeman,7441526440
helmet,above,shirt,7441526440
helmet,above,motorcycle,7441526440
helmet,above,boots,7441526440
helmet,on,head,7441526440
shirt,on,policeman,7441526440
shirt,below,helmet,7441526440
boots,on,policeman,7441526440
boots,below,helmet,7441526440
motorcycle,below,helmet,7441526440
motorcycle,in,parking lot,7441526440
trees,behind,motorcycle,7441526440
cones,on,parking lot,7441526440
tire,on,motorcycle,7441526440
sign,on,pole,7441526440
light,on,motorcycle,7441526440
laptop,on,desk,4294796626
laptop,next to,printer,4294796626
laptop,has,wires,4294796626
printer,on,desk,4294796626
printer,next to,laptop,4294796626
paper,in,printer,4294796626
organizer,behind,laptop,4294796626
tissue box,in,organizer,4294796626
tissues,next to,laptop,4294796626
books,in,organizer,4294796626
glass,on,desk,4294796626
glass,to the right of,laptop,4294796626
hatbox,on,desk,4294796626
camera,on,shelf,4294796626
camera,in,case,4294796626
stapler,to the right of,laptop,4294796626
pen,on,desk,4294796626
notebook,on,organizer,4294796626
notebook,behind,laptop,4294796626
headphones,on,desk,4294796626
paper,on,hatbox,4294796626
paper,on top of,basket,4294796626
man,is wearing,shorts,9626687493
man,wears,hat,9626687493
man,behind,motorcycle,9626687493
man,wearing,shoes,9626687493
man,wearing,shorts,9626687493
man,wearing,shirt,9626687493
man,wearing,hat,9626687493
man,wearing,pants,9626687493
man,standing near,table,9626687493
people,are under,tent,9626687493
bottle,is on,table,9626687493
motorcycle,in front of,tent,9626687493
motorcycle,on,black top,9626687493
man,crosses,legs,9626687493
building,behind,tent,9626687493
window,on,building,9626687493
door,on,building,9626687493
rearview mirror,on,motorcycle,9626687493
man,in,shirt,9626687493
trees,on the left of,building,9626687493
sky,above,wires,45627517
street,under,construction,45627517
cones,on,street,45627517
van,has,tv camera pole,45627517
van,has,brake lights,45627517
sign,in front of,van,45627517
sign,has,numbers,45627517
street lamp,next to,sign,45627517
fence,in front of,building,45627517
windows,on,building,45627517
porta-potty,next to,street,45627517
wheel,on,van,45627517
tv camera pole,over,van,45627517
numbers,over,letters,45627517
wires,in front of,building,45627517
wires,in,sky,45627517
wires,in front of,street lamp,45627517
people,in,street,45627517
plant,in front of,building,45627517
road cone,under,wires,45627517
truck,has,letters,45627517
truck,under,sky,45627517
bus,on,street,8500893876
bus,has,lights,8500893876
bus,has,window,8500893876
bus,has,sign,8500893876
bus,next to,sidewalk,8500893876
sign,on,bus,8500893876
sign,has,text,8500893876
sign,has,number,8500893876
van,on,street,8500893876
text,adjacent to,number,8500893876
text,on,sign,8500893876
text,on,bus,8500893876
number,on,bus,8500893876
sign,on,sidewalk,8500893876
bus,on,street,8500893876
island,on,street,8500893876
windows,on,bus,8500893876
windshield,on,van,8500893876
building,behind,bus,8500893876
window,on,building,8500893876
pillow,on,couch,4136904744
pillow,is on,couch,4136904744
laptop,on,tabel,4136904744
pillow,on,couch,4136904744
mirror,on,wall,4136904744
mirror,above,couch,4136904744
mirror,near,couch,4136904744
shelf,above,clock,4136904744
shelf,above,table,4136904744
lamp,on,desk,4136904744
desk,is next to,couch,4136904744
plant,in,pot,4136904744
plant,next to,table,4136904744
jar,on,tabel,4136904744
jar,next to,laptop,4136904744
clock,is on,table,4136904744
clock,below,shelf,4136904744
clock,near,plant,4136904744
lamp,next to,couch,4136904744
bowl,on,desk,4136904744
bowl,is next to,pillow,4136904744
bowl,near,lamp,4136904744
jug,on,table,4136904744
jug,below,shelf,4136904744
plate,on,desk,177941036
plate,to the right of,glass,177941036
plate,to the right of,drink,177941036
desk,beneath,plate,177941036
desk,beneath,glass,177941036
desk,beneath,drink,177941036
mouse,on,desk,177941036
mouse,near,sandwich,177941036
mouse,near,plate,177941036
mouse,has,cord,177941036
keyboard,on,desk,177941036
keyboard,near,mouse,177941036
keyboard,near,drink,177941036
keyboard,near,plate,177941036
keyboard,near,magazine,177941036
drink,on,desk,177941036
drink,next to,plate,177941036
drink,in,glass,177941036
drink,to the left of,plate,177941036
cd drive,on,desk,177941036
sandwich,on,plate,177941036
sandwich,on,desk,177941036
glass,has,handle,177941036
glass,to the left of,plate,177941036
rim,on,glass,177941036
rim,on,cup,177941036
magazine,near,mouse,177941036
dog,in,backpack,232107806
dog,near,man,232107806
dog,near,glasses,232107806
dog,has,fur,232107806
dog,behind,man,232107806
dog,has,nose,232107806
backpack,on,man,232107806
man,wears,glasses,232107806
man,holds,glass,232107806
man,wears,jeans,232107806
man,wears,watch,232107806
man,has,beard,232107806
man,near,dog,232107806
man,near,glasses,232107806
man,wearing,backpack,232107806
man,in front of,man,232107806
man,in front of,dog,232107806
man,has,nose,232107806
glasses,near,man,232107806
glasses,near,dog,232107806
beer,in,glass,232107806
building,behind,man,232107806
building,has,balconies,232107806
flowers,on,balconies,232107806
man,behind,man,232107806
girl,on,skates,7714241214
girl,wearing,helmet,7714241214
girl,wearing,vest,7714241214
girl,has,hair,7714241214
girl,wearing,t-shirt,7714241214
girl,wearing,shorts,7714241214
helmet,on,head,7714241214
girl,holding,poles,7714241214
girl,wearing,skates,7714241214
girl,wearing,helmet,7714241214
girl,wearing,shorts,7714241214
reflection,of,girl,7714241214
reflection,in,puddle,7714241214
car,in,parking lot,7714241214
truck,in,parking lot,7714241214
girl,wearing,helmet,7714241214
bushes,behind,parking lot,7714241214
woman,has,hair,7714241214
woman,wearing,helmet,7714241214
woman,wearing,roller blades,7714241214
woman,holding,poles,7714241214
helmet,on,hair,4344232677
helmet,on,woman,4344232677
helmet,has,words,4344232677
man,wearing,helmet,4344232677
man,with,hair,4344232677
man,wearing,vest,4344232677
man,wearing,sweatshirt,4344232677
man,wearing,jacket,4344232677
word,on,helmet,4344232677
vest,on,woman,4344232677
logo,on,sweatshirt,4344232677
stripe,on,vest,4344232677
woman,wearing,sweater,4344232677
woman,wearing,vest,4344232677
woman,wearing,helmet,4344232677
words,on,helmet,4344232677
man,on,bike,4344232677
man,carrying,bag,4344232677
man,with,mustache,4344232677
woman,with,hat,4344232677
woman,behind,man,4344232677
car,behind,man,4344232677
car,behind,woman,4344232677
person,over,skateboard,3665708190
person,in,skatepark,3665708190
skateboard,under,person,3665708190
skateboard,under,man,3665708190
ramp,behind,person,3665708190
ramp,behind,man,3665708190
ramp,near,person,3665708190
person,carries,skateboard,3665708190
person,behind,person,3665708190
skateboard,in,hand,3665708190
pants,above,knee pad,3665708190
knee pad,below,pants,3665708190
knee pad,on,knee,3665708190
man,over,skateboard,3665708190
man,in,skatepark,3665708190
man,wearing,shorts,3665708190
man,wearing,shoes,3665708190
man,riding,skateboard,3665708190
man,wearing,shirt,3665708190
shorts,on,man,3665708190
helmet,on,head,3665708190
sweatshirt,on,person,3665708190
person,in,black,3665708190
tower,has,clock,7713268430
tower,holding,clock,7713268430
tower,attached to,building,7713268430
clock,attached to,tower,7713268430
clock,below,roof,7713268430
trees,shorter than,clock tower,7713268430
building,attached to,tower,7713268430
chimney,on top of,building,7713268430
chimney,on top of,roof,7713268430
windows,on,tower,7713268430
windows,on,building,7713268430
windows,on,clock tower,7713268430
clock tower,attached to,building,7713268430
pillars,below,clock,7713268430
roof,above,clock,7713268430
man,next to,woman,4801256648
man,standing on,floor,4801256648
man,in front of,sign,4801256648
man,wearing,glasses,4801256648
man,wearing,watch,4801256648
man,holding,handle,4801256648
woman,standing on,floor,4801256648
bag,on,floor,4801256648
sign,next to,sign,4801256648
sign,has,number,4801256648
sign,behind,woman,4801256648
woman,next to,man,4801256648
woman,holds,backpack,4801256648
woman,standing on,floor,4801256648
man,behind,bag,4801256648
man,standing on,floor,4801256648
bag,in front of,sign,4801256648
eyeglass,on,man,4801256648
shirt,on,man,4801256648
backpack,near,man,4801256648
glasses,on,man,4801256648
watch,on,man,4801256648
athlete,has,racket,3874039121
athlete,wears,skirt,3874039121
athlete,wears,shoes,3874039121
athlete,wears,shirt,3874039121
athlete,wears,headband,3874039121
athlete,swings,racket,3874039121
athlete,in,court,3874039121
athlete,behind,net,3874039121
racket,has,handle,3874039121
racket,near,shirt,3874039121
skirt,near,shoes,3874039121
shoes,on,court,3874039121
shoes,near,skirt,3874039121
shirt,near,racket,3874039121
court,under,shoes,3874039121
court,near,net,3874039121
net,has,logo,3874039121
net,near,court,3874039121
cameramen,watch,athlete,3874039121
woman,holding,racket,3874039121
woman,has,racket,3874039121
woman,has,hair,3874039121
handle,on,racket,3874039121
camera,near,man,3874039121
man,near,camera,3874039121
clock,on,pole,6108452563
clock,above,sidewalk,6108452563
clock,above,fence,6108452563
clock,has,hands,6108452563
clock,outside,window,6108452563
pole,next to,sidewalk,6108452563
pole,outside,window,6108452563
sign,on,pole,6108452563
sign,left of,clock,6108452563
sign,under,clock,6108452563
sign,above,fence,6108452563
sign,outside,window,6108452563
sign,left of,sign,6108452563
sign,left of,clock,6108452563
tree,left of,sign,6108452563
tree,left of,clock,6108452563
tree,left of,sign,6108452563
tree,outside,window,6108452563
trees,below,sky,6108452563
sidewalk,outside,window,6108452563
fence,next to,sidewalk,6108452563
fence,below,sky,6108452563
fence,below,trees,6108452563
fence,outside,window,6108452563
rail,on,fence,6108452563
rail,outside,window,6108452563
wires,above,trees,6108452563
man,on,bench,8993117531
man,has,shirt,8993117531
man,has,shorts,8993117531
man,has,shoes,8993117531
man,in front of,grass,8993117531
man,in front of,building,8993117531
man,above,ground,8993117531
bench,in front of,grass,8993117531
bench,under,man,8993117531
bench,has,slats,8993117531
bench,next to,bench,8993117531
bench,above,ground,8993117531
grass,behind,bench,8993117531
grass,behind,bench,8993117531
building,above,ground,8993117531
building,behind,man,8993117531
bench,next to,man,8993117531
bench,next to,bench,8993117531
shoe,on,ground,8993117531
ground,below,building,8993117531
ground,below,man,8993117531
ground,below,bench,8993117531
building,reflected in,building,8993117531
sky,reflected in,building,8993117531
toilet,is left of,counter,3882370446
toilet,is behind,counter,3882370446
toilet,next to,tub,3882370446
toilet,beside,tub,3882370446
toilet,near,tub,3882370446
counter,is right of,toilet,3882370446
counter,is in front of,toilet,3882370446
shower,is left of,toilet,3882370446
shower,is left of,counter,3882370446
shower,over,tub,3882370446
tub,below,shower,3882370446
tub,beneath,shower,3882370446
tub,next to,toilet,3882370446
tub,beside,toilet,3882370446
tub,near,toilet,3882370446
tub,under,curtain rod,3882370446
tub,beneath,curtain rod,3882370446
curtain rod,above,tub,3882370446
curtain rod,over,tub,3882370446
curtain rod,to the right of,shower head,3882370446
shower head,to the left of,curtain rod,3882370446
shower head,next to,curtain rod,3882370446
television,on,table,4421433563
television,by,plant,4421433563
television,is above,table,4421433563
table,is left of,door,4421433563
plant,on,table,4421433563
plant,behind,television,4421433563
plant,is behind1,television,4421433563
plant,is under,shelf,4421433563
shelf,above,television,4421433563
door,has,glass,4421433563
lamp,above,shelf,4421433563
lamp,is above,shelf,4421433563
frame 1,is right of,frame 2,4421433563
bell,is left of,frame 1,4421433563
bell,above,table,4421433563
bottle,is left of,wine,4421433563
table,on,patio,4421433563
chair,beside,table,4421433563
table cloth,on,table,4421433563
flowers,in,vase,4421433563
walk way,on,hill,4421433563
trees,on,hill,4421433563
basket,ontop of,table,4421433563
plate,on,table,4421433563
couch,behind,table,4421433563
boy,has,t-shirt,2646977984
boy,has,shorts,2646977984
boy,has,controller,2646977984
boy,by,chair,2646977984
boy,next to,couch,2646977984
shorts,have,stripe,2646977984
kid,has,shirt,2646977984
kid,has,shorts,2646977984
kid,has,legs,2646977984
kid,on,chair,2646977984
dad,behind,boy,2646977984
dad,has,shirt,2646977984
dad,has,pants,2646977984
dad,has,watch,2646977984
dad,has,glasses,2646977984
dad,on,couch,2646977984
ball,by,chair,2646977984
mom,in,kitchen,2646977984
couch,behind,boy,2646977984
door,behind,boy,2646977984
door,behind,flower,2646977984
window,on,door,2646977984
boy,on,street,6917705703
boy,wears,shoes,6917705703
boy,wears,shirt,6917705703
boy,wears,shorts,6917705703
boy,wears,helmet,6917705703
boy,in front of,house,6917705703
boy,riding,skateboard,6917705703
boy,skateboarding on,street,6917705703
street,near,building,6917705703
house,in front of,boy,6917705703
house,has,window,6917705703
house,has,balcony,6917705703
house,near,car,6917705703
skateboard,on,street,6917705703
car,on,street,6917705703
car,has,tire,6917705703
car,near,house,6917705703
plant,on,street,6917705703
building,has,balcony,6917705703
man,on,bed,3584173064
man,has,shirt,3584173064
man,with,laptop,3584173064
man,opposite,wall,3584173064
bed,under,man,3584173064
bed,has,pillows,3584173064
woman,in,mirror,3584173064
woman,using,camera,3584173064
woman,has,skirt,3584173064
mirror,below,nightstand,3584173064
laptop,on,bed,3584173064
laptop,by,man,3584173064
clock,on,nightstand,3584173064
clock,by,bed,3584173064
nightstand,by,bed,3584173064
television,in,mirror,3584173064
television,by,wall,3584173064
phone,by,bed,3584173064
table,near,door,3584173064
table,by,wall,3584173064
door,below,vent,3584173064
vent,by,door,3584173064
flowers,on,television,3584173064
pillows,on,bed,3584173064
train,on,track,9428072257
train,next to,pole,9428072257
train,next to,gravel,9428072257
